Date,Close,Open,High,Low,Vol.
2024-04-30,77500,77000,78500,76600,19007007
2024-04-29,76700,77400,77600,76200,14664474
2024-04-26,76700,77800,77900,76500,12755629
2024-04-25,76300,77300,77500,76300,15549134
2024-04-24,78600,77500,78800,77200,22166150
2024-04-23,75500,76400,76800,75500,18717699
2024-04-22,76100,77400,77500,75100,30469477
2024-04-19,77600,78300,78700,76300,31317563
2024-04-18,79600,78800,80100,78300,21370190
2024-04-17,78900,80700,80800,78900,22611631
2024-04-16,80000,81200,81300,79400,31949845
2024-04-15,82200,82900,83200,81200,26663772
2024-04-12,83700,84700,84900,83200,17061770
2024-04-11,84100,83200,84700,82500,25538009
2024-04-09,83600,84500,84900,83100,23725956
2024-04-08,84500,85200,86000,84500,18953232
2024-04-05,84500,84500,85000,83800,18883752
2024-04-04,85300,85200,85500,84300,25248934
2024-04-03,84100,84300,85000,83500,30493347
2024-04-02,85000,82900,85000,82900,37077944
2024-04-01,82000,83200,83300,82000,20116513
2024-03-29,82400,81200,82500,80900,27126366
2024-03-28,80800,79400,81000,79200,25084812
2024-03-27,79800,79200,80000,79200,17424595
2024-03-26,79900,79700,80100,79200,30551494
2024-03-25,78200,79600,79800,77800,18703996
2024-03-22,78900,79600,79900,77800,26724761
2024-03-21,79300,79200,79300,77700,44569799
2024-03-20,76900,73700,77200,73400,50106297
2024-03-19,72800,72300,73000,71700,15376066
2024-03-18,72800,72600,73000,72500,11520348
2024-03-15,72300,73400,73700,72300,22580555
2024-03-14,74300,74400,74500,73600,22545539
2024-03-13,74100,73700,74100,73500,15243134
2024-03-12,73300,72600,73500,72100,13011654
2024-03-11,72400,72900,73100,72300,9740504
2024-03-08,73300,72800,73400,72600,19271349
2024-03-07,72200,73100,73300,72200,14516963
2024-03-06,72900,73200,73500,72700,21547905
2024-03-05,73700,74600,74800,73700,19505125
2024-03-04,74900,74300,75000,74000,23210474
2024-02-29,73400,72600,73400,72000,21176403
2024-02-28,73200,72900,73900,72800,11795859
2024-02-27,72900,73100,73400,72700,13201981
2024-02-26,72800,72300,73200,72200,14669352
2024-02-23,72900,73600,74200,72900,16225166
2024-02-22,73100,73800,73900,72700,15208934
2024-02-21,73000,73400,73700,72900,11503495
2024-02-20,73300,73700,73700,72800,14681477
2024-02-19,73800,72800,73900,72800,12726404
2024-02-16,72800,73300,73400,72500,13444781
2024-02-15,73000,74200,74400,73000,14120600
2024-02-14,74000,73700,74300,73700,12434945
2024-02-13,75200,74800,75200,74400,21966745
2024-02-08,74100,75000,75200,73600,20810708
2024-02-07,75000,74600,75500,74300,16566445
2024-02-06,74400,74300,74700,73300,14559254
2024-02-05,74300,74200,74800,73500,19026021
2024-02-02,75200,74000,75200,73700,14955881
2024-02-01,73600,73000,74200,72900,19881033
2024-01-31,72700,73400,74000,72500,15703560
2024-01-30,74300,75000,75300,73700,12244418
2024-01-29,74400,73800,75200,73500,13976521
2024-01-26,73400,73700,74500,73300,11160062
2024-01-25,74100,74200,74800,73700,11737747
2024-01-24,74000,75200,75200,73500,12860661
2024-01-23,75200,75700,75800,74300,14786224
2024-01-22,75100,75900,76000,75000,19673375
2024-01-19,74700,73500,74700,73000,23363427
2024-01-18,71700,71600,72000,70700,17853397
2024-01-17,71000,73100,73300,71000,22683660
2024-01-16,72600,73500,73700,72500,14760415
2024-01-15,73900,73200,74000,73200,13212339
2024-01-12,73100,73000,74100,72800,13038939
2024-01-11,73200,72900,73600,72700,57691266
2024-01-10,73600,75000,75200,73200,20259529
2024-01-09,74700,77400,77700,74300,26019249
2024-01-08,76500,77000,77500,76400,11088724
2024-01-05,76600,76700,77100,76400,11304316
2024-01-04,76600,76100,77300,76100,15324439
2024-01-03,77000,78500,78800,77000,21753644
2024-01-02,79600,78200,79800,78200,17142847
